mean,std
21.271496489916313,1.9068349293370224
20.23397198906359,3.321245249995763
18.801655613046773,4.4174563517293945
16.863232197644948,5.384815967866702
12.794091197559025,6.225760087583621
9.247872740990834,5.601491170941796
6.400804585974243,5.138189081260917
5.556197373540457,6.15860365142409
2.551686799496871,2.849462651702943
3.094572662746677,6.251483201575044
0.8882231920723043,3.0509223315645273
0.13398758467343438,0.12640429246646612
0.48773433159009166,3.1144447543760725
0.01460006032070183,0.01346708669527312
1.2634609511513875,4.981907406383654
0.0033457660254977294,0.0016154103071335676
1.2657896141244356,5.004466979372597
0.8583398728158204,4.199819605934715
0.4468472090353467,3.1232261453265866
1.311004794787462,5.1887717893427725
0.8339013528362013,4.087296024655634
6.10622856428833e-05,2.712126908330285e-05
0.4425604347173827,3.097650929295674
0.882004005870597,4.321183610503848
0.876997976798482,4.296551270983302
0.852915296402474,4.179844953802493
0.8870155226763056,4.345609269285212
0.4401211897387157,3.080847139337899
1.6898017723090089,5.736506107444039
0.39513023797716285,2.765911497211594
0.44699777717588435,3.12898436830513
0.40319101396369283,2.8223370724252175
0.40516478135379935,2.8361534592371047
0.8232237963006969,4.034558648496337
0.4439019501477262,3.1073136487991726
1.2169992500456481,4.817361814489014
1.2993985906172116,5.144812697827554
1.100409008358838e-10,2.1583137131274606e-11
0.44682873783805843,3.1278011642282064
1.3232551878605852,5.237624493965293
1.6928874383053818,5.743986557190091
0.8383473410706946,4.107470336958396
0.8584330706311704,4.209146339625684
1.2870772009965932,5.094917490908325
0.40701150568035926,2.849080539756185
0.8342187952692913,3.5769621286693143
0.44099814234881846,3.086986996440413
8.412825991399586e-14,6.205133545451532e-14
3.2969182939268646e-14,3.478787047694388e-14
2.510859157045679,6.803494707253977
0.8066477730266675,3.9519882840052807
