nPeaks,nHoles,total_col_with_hole,total_dy,x_transitions,y_transitions,total_none_cols,maxWell,fullLines
339.963006548877,-371.99424687484316,-215.4611397525899,-1.0303065600323396,257.2423959917062,98.98386305339906,-505.05059014042365,-34.983461775783184,-503.3975719684178
339.963006548877,-371.9920862086624,-395.9700325552882,-1.0303065600323396,195.97984881953732,98.98386305339906,-505.05059014042354,-34.982343141725465,-369.01500869346614
339.96300654887705,-371.9832922995197,-395.97156334619746,-1.0303065600323393,195.97984881953732,98.98386305339906,-505.05059014042354,-34.98310388972864,-369.01688238264273
339.96300654887705,-371.9958175935103,-395.9712030202546,-1.0303065600323396,195.97984881953732,98.98386305339906,-505.05059014042354,-34.98516838107667,-369.0167282299035
339.96300654887705,-371.9957773017983,-395.971225782427,-1.0303065600323396,195.97984881953732,98.98386305339908,-505.0505901404236,-34.98337511761063,-369.01737098196577
339.963006548877,-371.99577519814875,-395.9714754452945,-1.0303065600323393,195.97984881953732,98.98386305339908,-505.05059014042365,-34.98339870871446,-369.0173561798442
339.96300654887705,-207.22473759342668,-367.9040239808197,-80.77526856291885,195.97984881953732,98.98386305339908,-505.0505901404236,-415.42137164927067,-369.01737399032004
339.963006548877,-371.9957847123956,-395.97131155358954,-1.0303065600323391,195.97984881953732,98.98386305339908,-505.05059014042365,-34.98336652696919,-369.01735317148996
339.96300654887693,-371.99401050436086,-395.9669052356278,-1.0303065600323393,195.97984881953732,98.98386305339906,-505.05059014042365,-34.98271115269338,-369.0163256527258
339.963006548877,-371.9942692944194,-395.968188472654,-1.0303065600323396,195.97984881953732,98.98386305339908,-505.05059014042365,-34.98342241721899,-369.01659255078454
339.963006548877,-371.99240005446575,-715.2324535632054,-1.0303065600323396,195.97984881953732,98.98386305339908,-772.7175173716955,-34.9827383471937,-369.01691897782104
339.96300654887705,-371.995765316834,-395.9714875203597,-1.0303065600323396,195.97984881953732,98.98386305339908,-505.0505901404236,-34.98334049046991,-369.0173977157061
339.96300654887705,-371.9959235994205,-395.9706169490829,-1.0303065600323393,195.97984881953732,98.98386305339906,-505.0505901404236,-34.98342978226451,-369.0173344412658
339.96300654887705,-371.9957941919821,-395.9713047714964,-1.0303065600323393,195.97984881953732,98.98386305339906,-505.05059014042365,-34.983430795879954,-369.0173541722499
339.96300654887705,-371.9958059329986,-395.9712440136911,-1.0303065600323391,195.97984881953732,98.98386305339906,-505.05059014042365,-34.98355190574955,-369.01734927895166
339.96300654887705,-371.9958012947941,-395.97122075846494,-1.0303065600323393,195.97984881953732,98.98386305339906,-505.05059014042365,-34.983568864625994,-369.0173390042206
