nPeaks,nHoles,total_col_with_hole,total_dy,x_transitions,y_transitions,total_none_cols,maxWell,fullLines
414.08343762127635
4.895829976562053e-06
4.89582995107191e-06
4.8958299659758065e-06
4.895829961473865e-06
4.895829946720098e-06
4.895829970171671e-06
4.895829963879332e-06
4.895829958817691e-06
4.8958299672717245e-06
-381.5394416269557
4.895829991287688e-06
4.8958299638592905e-06
4.895829964615551e-06
4.895829965309048e-06
-87.10037195818948
4.895829963859291e-06
4.895829963859291e-06
-135.97644816229607
4.895829959232281e-06
4.895829966606338e-06
4.895829966606338e-06
4.895829961473865e-06
4.895829961473865e-06
4.895829946720098e-06
4.895829988434978e-06
4.895829959232281e-06
4.895829964615551e-06
4.8958299638592905e-06
4.8958299537249995e-06
4.8958299524321655e-06
4.8958299638592905e-06
4.895829959838397e-06
4.89582995594404e-06
4.8958299537249995e-06
4.8958299537249995e-06
218.28869125236113
4.895829963401092e-06
4.895829962057438e-06
4.895829961473865e-06
4.8958299634072815e-06
4.895829970791945e-06
4.8958299589111485e-06
4.895829957947303e-06
4.8958299638592905e-06
4.895829964615551e-06
4.895829946720098e-06
4.895829961473865e-06
4.895829969281012e-06
4.8958299698384775e-06
